prcode,active,ldate
0237727,Y   ,45:02.8
0086547,Y   ,45:24.1
0080059,Y   ,45:24.3
0214230,Y   ,45:24.5
0190256,Y   ,45:24.9
0201018,N   ,45:46.0
0185737,Y   ,45:46.4
0026472,Y   ,46:08.2
0143703,Y   ,46:08.5
0201409,Y   ,46:08.8
0224975,Y   ,46:09.0
0060357,Y   ,46:09.1
0069795,Y   ,46:09.4
0194485,Y   ,46:09.7
0044853,Y   ,46:10.1
0061588,Y   ,46:10.4
0231847,N   ,46:52.6
0220597,N   ,46:52.8
0216761,Y   ,46:53.2
0226616,Y   ,46:53.5
0241564,N   ,46:53.7
0049996,Y   ,46:53.9
0205718,Y   ,46:54.0
0198787,N   ,47:15.2
0234094,Y   ,47:15.5
0054407,Y   ,47:15.8
0194996,N   ,47:16.0
0220233,N   ,47:16.1
0151796,Y   ,47:16.4
0078651,Y   ,47:16.7
0175367,N   ,47:16.8
0215987,Y   ,47:17.1
0202331,Y   ,47:59.4
0205642,Y   ,47:59.8
0205869,Y   ,48:00.1
0217026,Y   ,48:00.4
0217280,Y   ,48:00.6
0227287,N   ,48:00.8
0211186,Y   ,48:01.0
0239296,N   ,48:01.2
0064185,Y   ,48:01.5
0219483,Y   ,48:01.8
0136227,Y   ,48:23.1
0176406,Y   ,48:23.4
0213957,Y   ,48:23.7
0056584,Y   ,48:24.0
0213218,N   ,48:24.2
0225756,N   ,48:24.3
0220768,Y   ,48:24.7
0218879,Y   ,48:46.0
0213411,Y   ,48:46.3
0025317,Y   ,48:46.7
0187181,Y   ,48:46.9
0153690,Y   ,48:47.2
0166246,Y   ,48:47.5
0229745,N   ,48:47.7
0167089,Y   ,48:47.9
0235231,N   ,48:48.1
0237137,N   ,48:48.3
0206260,Y   ,48:48.4
0189296,Y   ,48:48.8
0202367,Y   ,49:10.1
